# slave_1_address (ip:port), slave_2_address (ip:port), min_rtt (ns)
10.140.0.109:9103,10.140.0.103:9103,98059
10.140.0.101:9103,10.140.0.104:9103,98329
10.140.0.130:9103,10.140.0.103:9103,98372
10.140.0.104:9103,10.140.0.128:9103,98720
10.140.0.128:9103,10.140.0.130:9103,98760
10.140.0.128:9103,10.140.0.104:9103,98800
10.140.0.125:9103,10.140.0.104:9103,98929
10.140.0.113:9103,10.140.0.120:9103,99018
10.140.0.128:9103,10.140.0.126:9103,99113
10.140.0.125:9103,10.140.0.109:9103,99120
10.140.0.108:9103,10.140.0.114:9103,99123
10.140.0.123:9103,10.140.0.114:9103,99136
10.140.0.128:9103,10.140.0.107:9103,99145
10.140.0.109:9103,10.140.0.123:9103,99172
10.140.0.124:9103,10.140.0.130:9103,99250
10.140.0.128:9103,10.140.0.106:9103,100017
10.140.0.124:9103,10.140.0.128:9103,100084
10.140.0.124:9103,10.140.0.103:9103,100269
10.140.0.121:9103,10.140.0.125:9103,100569
10.140.0.105:9103,10.140.0.130:9103,100572
10.140.0.107:9103,10.140.0.123:9103,100973
10.140.0.130:9103,10.140.0.121:9103,101152
10.140.0.123:9103,10.140.0.128:9103,101182
10.140.0.126:9103,10.140.0.121:9103,101672
10.140.0.130:9103,10.140.0.125:9103,101832
10.140.0.130:9103,10.140.0.122:9103,101834
10.140.0.103:9103,10.140.0.119:9103,102374
10.140.0.129:9103,10.140.0.120:9103,102406
10.140.0.126:9103,10.140.0.130:9103,102457
10.140.0.121:9103,10.140.0.130:9103,102731
10.140.0.104:9103,10.140.0.127:9103,102735
10.140.0.128:9103,10.140.0.118:9103,102762
10.140.0.104:9103,10.140.0.115:9103,103208
10.140.0.127:9103,10.140.0.130:9103,103244
10.140.0.125:9103,10.140.0.119:9103,103662
10.140.0.123:9103,10.140.0.113:9103,103950
10.140.0.122:9103,10.140.0.114:9103,104546
10.140.0.108:9103,10.140.0.128:9103,104562
10.140.0.107:9103,10.140.0.115:9103,105071
10.140.0.128:9103,10.140.0.101:9103,105166
10.140.0.101:9103,10.140.0.114:9103,105309
10.140.0.123:9103,10.140.0.120:9103,105476
10.140.0.127:9103,10.140.0.114:9103,105933
